Index,Day,Time,Light,Sp4,Sp5,Sp9,Sp10,Sp11,Sp12,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp25
19935,1,2024-05-01 11:57:00,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0
19936,1,2024-05-01 11:58:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19937,1,2024-05-01 11:59:00,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
19938,1,2024-05-01 12:00:00,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0
19939,1,2024-05-01 12:01:00,1,0,0,0,2,0,11,0,0,0,0,0,0,0,0
19940,1,2024-05-01 12:02:00,1,0,3,0,0,0,3,0,0,5,0,0,0,0,0
19941,1,2024-05-01 12:03:00,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19942,1,2024-05-01 12:04:00,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
19943,1,2024-05-01 12:05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19944,1,2024-05-01 12:06:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19945,1,2024-05-01 12:07:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19946,1,2024-05-01 12:08:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19947,1,2024-05-01 12:09:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19948,1,2024-05-01 12:10:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19949,1,2024-05-01 12:11:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19950,1,2024-05-01 12:12:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19951,1,2024-05-01 12:13:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19952,1,2024-05-01 12:14:00,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
19953,1,2024-05-01 12:15:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19954,1,2024-05-01 12:16:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19955,1,2024-05-01 12:17:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19956,1,2024-05-01 12:18:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19957,1,2024-05-01 12:19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
